Link,Full Name,SKU,Summary,Price Currency,Price,Availability,PriceValidUntil,Aggregate Rating,Review Count,Available Finishes / Color,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Image 9,Image 10,Image 11,Image 12,Image 13,Image 14,Image 15,Image 16,Image 17,Image 18,Image 19,Image 20,Specifications,Faucet Installation,cUPC Certification,NSF Certification,Lead Free,Undermount Installation,Flush DXF,Full DXF,Negative DXF,Water Sense,Topmount Installation,Apron Installation,Undermount To Laminate Installation,Warranty,Care and Cleaning Manual,ICC Certification,Installation,Specification,Vessel Installation
https://www.mrdirectint.com/766-c-spring-spout-faucet,766-C Chrome Spring-Spout Faucet,766-C,"The 766-C Spring Spout Faucet offers the appearance and functionality of a commercial-style design. Styled after models found in the kitchens of the finest restaurants, this faucet will give your kitchen an air of professionalism. With the touch of a button, its steady stream of water can be turned into a powerful spray to rinse or fill previously unwieldy cookware. The 766-C is available in either a brushed nickel or chrome finish. The dimensions for the 766-C are 2 1/8"" x 10 1/4"" x 20 1/2"".",USD,172.00,InStock,2021-07-30,4.95652173913,23,Chrome,1- or 3-Hole Installation,Ceramic Disc Cartridge,360-Degree Spout,Completely Pressure Tested,ADA Approved,Constructed of Lead-Free Materials,Complies with NSF Standards,SDWA Compliant,cUPC Certified (Uniform Plumbing Code),Limited Lifetime Warranty,Chrome Finish,,,,,https://www.mrdirectint.com/media/products/faucet/766-c/alt/21.1000.png,https://www.mrdirectint.com/media/products/faucet/766-c/product/main.1000.png,https://www.mrdirectint.com/media/products/faucet/766-c/alt/90.1000.png,https://www.mrdirectint.com/media/products/faucet/766-c/product/dim_in.1000.png,,,,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/766-c_specs.pdf,https://www.mrdirectint.com/files/install/766_install.pdf,https://www.mrdirectint.com/files/certs/cupc_faucet.pdf,https://www.mrdirectint.com/files/certs/nsf.pdf,https://www.mrdirectint.com/files/certs/lead_free.pdf,,,,,,,,,,,,,,
https://www.mrdirectint.com/766-bn-spring-spout-faucet,766-BN Brushed Nickel Spring-Spout Faucet,766-BN,"The 766-BN Spring Spout Faucet offers the appearance and functionality of a commercial-style design. Styled after models found in the kitchens of the finest restaurants, this faucet will give your kitchen an air of professionalism. With the touch of a button, its steady stream of water can be turned into a powerful spray to rinse or fill previously unwieldy cookware. The 766-BN is available in either a brushed nickel or chrome finish. The dimensions for the 766-BN are 2 1/8"" x 10 1/4"" x 20 1/2"".",USD,183.00,InStock,2021-07-30,5,50,Brushed Nickel,1- or 3-Hole Installation,Ceramic Disc Cartridge,360-Degree Spout,Completely Pressure Tested,ADA Approved,Constructed of Lead-Free Materials,Complies with NSF Standards,SDWA Compliant,cUPC Certified (Uniform Plumbing Code),Limited Lifetime Warranty,Brushed-Nickel Finish,,,,,https://www.mrdirectint.com/media/products/faucet/766-bn/alt/21.1000.png,https://www.mrdirectint.com/media/products/faucet/766-bn/product/main.1000.png,https://www.mrdirectint.com/media/products/faucet/766-bn/alt/90.1000.png,https://www.mrdirectint.com/media/products/faucet/766-bn/product/dim_in.1000.png,,,,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/766-bn_specs.pdf,https://www.mrdirectint.com/files/install/766_install.pdf,https://www.mrdirectint.com/files/certs/cupc_faucet.pdf,https://www.mrdirectint.com/files/certs/nsf.pdf,https://www.mrdirectint.com/files/certs/lead_free.pdf,,,,,,,,,,,,,,
https://www.mrdirectint.com/766-abr-spring-spout-faucet,766-ABR Antique Bronze Spring-Spout Faucet,766-ABR,"The 766-ABR Spring Spout Faucet offers the appearance and functionality of a commercial-style design. Styled after models found in the kitchens of the finest restaurants, this faucet will give your kitchen an air of professionalism. With the touch of a button, its steady stream of water can be turned into a powerful spray to rinse or fill previously unwieldy cookware. The 766-ABR is available in a chrome, brushed nickel, or antique bronze finish. The dimensions for the 766-ABR are 2 1/8"" x 10 1/4"" x 20 1/2"".",USD,201.00,InStock,2021-07-30,5,3,Antique Bronze,1- or 3-Hole Installation,Ceramic Disc Cartridge,360-Degree Spout,Completely Pressure Tested,ADA Approved,Constructed of Lead-Free Materials,Complies with NSF Standards,SDWA Compliant,cUPC Certified (Uniform Plumbing Code),Limited Lifetime Warranty,Antique Bronze Finish,,,,,https://www.mrdirectint.com/media/products/faucet/766-abr/alt/21.1000.png,https://www.mrdirectint.com/media/products/faucet/766-abr/product/main.1000.png,https://www.mrdirectint.com/media/products/faucet/766-abr/alt/90.1000.png,https://www.mrdirectint.com/media/products/faucet/766-abr/product/dim_in.1000.png,,,,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/766-abr_specs.pdf,https://www.mrdirectint.com/files/install/766_install.pdf,https://www.mrdirectint.com/files/certs/cupc_faucet.pdf,https://www.mrdirectint.com/files/certs/nsf.pdf,https://www.mrdirectint.com/files/certs/lead_free.pdf,,,,,,,,,,,,,,
https://www.mrdirectint.com/772-c-chrome-pull-down-kitchen-faucet,772-C Chrome Pull Down Kitchen Faucet,772-C,"The 772-C Single Handle Pull-Down Kitchen Faucet has a one or three-hole installation option and is available in a chrome, brushed nickel, or antique bronze finish. It contains a multi-function spray head with a 56"" metal hose and is ADA approved. The dimensions for the 772-C are 2 1/4"" x 9 1/4"" x 14 5/8"". This faucet is pressure tested to ensure proper working conditions and is covered under a lifetime warranty. The 772-C is sure to add functional style to any kitchen sink. Base plates in each finish are also available for purchase.",USD,149.00,InStock,2021-07-30,4.94444444444,18,Chrome,1- or 3-Hole Installation,Ceramic Disc Cartridge,"56"" Flexible Metal Hose",Completely Pressure Tested,ADA Approved,Constructed of Lead-Free Materials,Complies with NSF Standards,SDWA Compliant,cUPC Certified (Uniform Plumbing Code),Limited Lifetime Warranty,,,,,,https://www.mrdirectint.com/media/products/faucet/772-c/alt/21.1000.png,https://www.mrdirectint.com/media/products/faucet/772-c/product/main.1000.png,https://www.mrdirectint.com/media/products/faucet/772-c/alt/90.1000.png,https://www.mrdirectint.com/media/products/faucet/772-c/product/dim_in.1000.png,,,,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/772-c_specs.pdf,https://www.mrdirectint.com/files/install/772_install.pdf,https://www.mrdirectint.com/files/certs/cupc_faucet.pdf,https://www.mrdirectint.com/files/certs/nsf.pdf,https://www.mrdirectint.com/files/certs/lead_free.pdf,,,,,,,,,,,,,,
https://www.mrdirectint.com/772-bn-brushed-nickel-pull-down-kitchen-faucet,772-BN Brushed Nickel Pull Down Kitchen Faucet,772-BN,"The 772-BN Single Handle Pull-Down Kitchen Faucet has a one or three-hole installation option and is available in a chrome, brushed nickel, or antique bronze finish. It contains a multi-function spray head with a 56"" metal hose and is ADA approved. The dimensions for the 772-BN are 2 1/4"" x 9 1/4"" x 14 5/8"". This faucet is pressure tested to ensure proper working conditions and is covered under a lifetime warranty. The 772-BN is sure to add functional style to any kitchen sink. Base plates in each finish are also available for purchase.",USD,172.00,InStock,2021-07-30,4.63265306122,49,Brushed Nickel,1- or 3-Hole Installation,Ceramic Disc Cartridge,"56"" Flexible Metal Hose",Completely Pressure Tested,ADA Approved,Constructed of Lead-Free Materials,Complies with NSF Standards,SDWA Compliant,cUPC Certified (Uniform Plumbing Code),Limited Lifetime Warranty,,,,,,https://www.mrdirectint.com/media/products/faucet/772-bn/alt/21.1000.png,https://www.mrdirectint.com/media/products/faucet/772-bn/product/main.1000.png,https://www.mrdirectint.com/media/products/faucet/772-bn/alt/90.1000.png,https://www.mrdirectint.com/media/products/faucet/772-bn/product/dim_in.1000.png,,,,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/772-bn_specs.pdf,https://www.mrdirectint.com/files/install/772_install.pdf,https://www.mrdirectint.com/files/certs/cupc_faucet.pdf,https://www.mrdirectint.com/files/certs/nsf.pdf,https://www.mrdirectint.com/files/certs/lead_free.pdf,,,,,,,,,,,,,,
https://www.mrdirectint.com/772-abr-antique-bronze-pull-down-kitchen-faucet,772-ABR Antique Bronze Pull Down Kitchen Faucet,772-ABR,"The 772-ABR Single Handle Pull-Down Kitchen Faucet has a one or three-hole installation option and is available in a chrome, brushed nickel, or antique bronze finish. It contains a multi-function spray head with a 56"" metal hose and is ADA approved. The dimensions for the 772-ABR are 2 1/4"" x 9 1/4"" x 14 5/8"". This faucet is pressure tested to ensure proper working conditions and is covered under a lifetime warranty. The 772-ABR is sure to add functional style to any kitchen sink. Base plates in each finish are also available for purchase.",USD,183.00,InStock,2021-07-30,3.57142857143,7,Antique Bronze,1- or 3-Hole Installation,Ceramic Disc Cartridge,"56"" Flexible Metal Hose",Completely Pressure Tested,ADA Approved,Constructed of Lead-Free Materials,Complies with NSF Standards,SDWA Compliant,cUPC Certified (Uniform Plumbing Code),Limited Lifetime Warranty,Antique Bronze Finish,,,,,https://www.mrdirectint.com/media/products/faucet/772-abr/alt/21.1000.png,https://www.mrdirectint.com/media/products/faucet/772-abr/product/main.1000.png,https://www.mrdirectint.com/media/products/faucet/772-abr/alt/90.1000.png,https://www.mrdirectint.com/media/products/faucet/772-abr/product/dim_in.1000.png,,,,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/772-abr_specs.pdf,https://www.mrdirectint.com/files/install/772_install.pdf,https://www.mrdirectint.com/files/certs/cupc_faucet.pdf,https://www.mrdirectint.com/files/certs/nsf.pdf,https://www.mrdirectint.com/files/certs/lead_free.pdf,,,,,,,,,,,,,,
https://www.mrdirectint.com/711-c-chrome-single-handle-kitchen-faucet,711-C Chrome Single Handle Kitchen Faucet,711-C,"The 711-C Single Handle Kitchen Faucet has a one or three-hole installation option and is available in a brushed nickel, oil-rubbed bronze or chrome finish. It is a versatile faucet with a 360 degree spout and optional base plate that can be used with a kitchen or bar sink. The dimensions for the 711-C are 2"" x 8 7/8"" x 14 5/8"". This faucet is pressure tested to ensure proper working conditions and is covered under a lifetime warranty. With its simple design, the 711-C is sure to complement any bar or kitchen sink.",USD,103.00,InStock,2021-07-30,5,4,Chrome,1- or 3-Hole Installation,Ceramic Disc Cartridge,360-Degree Spout,Completely Pressure Tested,ADA Approved,Constructed of Lead-Free Materials,Complies with NSF Standards,SDWA Compliant,cUPC Certified (Uniform Plumbing Code),Limited Lifetime Warranty,Chrome Finish,,,,,https://www.mrdirectint.com/media/products/faucet/711-c/alt/21.1000.png,https://www.mrdirectint.com/media/products/faucet/711-c/product/main.1000.png,https://www.mrdirectint.com/media/products/faucet/711-c/alt/90.1000.png,https://www.mrdirectint.com/media/products/faucet/711-c/product/dim_in.1000.png,,,,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/711-c_specs.pdf,https://www.mrdirectint.com/files/install/711_install.pdf,https://www.mrdirectint.com/files/certs/cupc_faucet.pdf,https://www.mrdirectint.com/files/certs/nsf.pdf,https://www.mrdirectint.com/files/certs/lead_free.pdf,,,,,,,,,,,,,,
https://www.mrdirectint.com/711-bn-brushed-nickel-single-handle-kitchen-faucet,711-BN Brushed Nickel Single Handle Kitchen Faucet,711-BN,"The 711-BN Single Handle Kitchen Faucet has a one or three-hole installation option and is available in a brushed nickel, oil-rubbed bronze or chrome finish. It is a versatile faucet with a 360 degree spout and optional base plate that can be used with a kitchen or bar sink. The dimensions for the 711-BN are 2"" x 8 7/8"" x 14 5/8"". This faucet is pressure tested to ensure proper working conditions and is covered under a lifetime warranty. With its simple design, the 711-BN is sure to complement any bar or kitchen sink.",USD,120.00,InStock,2021-07-30,4.75,8,Brushed Nickel,1- or 3-Hole Installation,Ceramic Disc Cartridge,360-Degree Spout,Completely Pressure Tested,ADA Approved,Constructed of Lead-Free Materials,Complies with NSF Standards,SDWA Compliant,cUPC Certified (Uniform Plumbing Code),Limited Lifetime Warranty,Brushed-Nickel Finish,,,,,https://www.mrdirectint.com/media/products/faucet/711-bn/alt/21.1000.png,https://www.mrdirectint.com/media/products/faucet/711-bn/product/main.1000.png,https://www.mrdirectint.com/media/products/faucet/711-bn/alt/90.1000.png,https://www.mrdirectint.com/media/products/faucet/711-bn/product/dim_in.1000.png,,,,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/711-bn_specs.pdf,https://www.mrdirectint.com/files/install/711_install.pdf,https://www.mrdirectint.com/files/certs/cupc_faucet.pdf,https://www.mrdirectint.com/files/certs/nsf.pdf,https://www.mrdirectint.com/files/certs/lead_free.pdf,,,,,,,,,,,,,,
https://www.mrdirectint.com/711-abr-antique-bronze-single-handle-kitchen-faucet,711-ABR Antique Bronze Single Handle Kitchen Faucet,711-ABR,"The 711-ABR Single Handle Kitchen Faucet has a one or three-hole installation option and is available in a chrome, brushed nickel, antique bronze, or oil-rubbed bronze finish. It is a versatile faucet with a 360 degree spout and optional base plate that can be used with a kitchen or bar sink. The dimensions for the 711-ABR are 2"" x 8 7/8"" x 14 5/8"". This faucet is pressure tested to ensure proper working conditions and is covered under a lifetime warranty. With its simple design, the 711-ABR is sure to complement any bar or kitchen sink.",USD,137.00,InStock,2021-07-30,5,1,Antique Bronze,1- or 3-Hole Installation,Ceramic Disc Cartridge,360-Degree Spout,Completely Pressure Tested,ADA Approved,Constructed of Lead-Free Materials,Complies with NSF Standards,SDWA Compliant,cUPC Certified (Uniform Plumbing Code),Limited Lifetime Warranty,Antique Bronze Finish,,,,,https://www.mrdirectint.com/media/products/faucet/711-abr/alt/21.1000.png,https://www.mrdirectint.com/media/products/faucet/711-abr/product/main.1000.png,https://www.mrdirectint.com/media/products/faucet/711-abr/alt/90.1000.png,https://www.mrdirectint.com/media/products/faucet/711-abr/product/dim_in.1000.png,,,,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/711-abr_specs.pdf,https://www.mrdirectint.com/files/install/711_install.pdf,https://www.mrdirectint.com/files/certs/cupc_faucet.pdf,https://www.mrdirectint.com/files/certs/nsf.pdf,https://www.mrdirectint.com/files/certs/lead_free.pdf,,,,,,,,,,,,,,
https://www.mrdirectint.com/708-c-pull-out-kitchen-faucet,708-C Chrome Pull Out Faucet,708-C,"The 708-C Single Handle Pull-Out Kitchen Faucet has a one or three hole installation and is available in a brushed nickel, oil-rubbed bronze or chrome finish. It contains a multi-function spray head with a 56"" metal hose and is ADA approved. The dimensions for the 708-C are 2 1/8"" x 8 3/8"" x 7 1/4"". This faucet is pressure tested to ensure proper working conditions and is covered under a lifetime warranty. The 708-C is sure to add functional style to any kitchen sink.",USD,91.00,InStock,2021-07-30,4.86956521739,23,Chrome,1- or 3-Hole Installation,Ceramic Disc Cartridge,"56"" Flexible Metal Hose","Multi-Function, Pull-out Spray",Completely Pressure Tested,Constructed of Lead-Free Materials,Complies with NSF Standards,SDWA Compliant,cUPC Certified (Uniform Plumbing Code),Limited Lifetime Warranty,Chrome Finish,ADA Compliant,,,,https://www.mrdirectint.com/media/products/faucet/708-c/alt/21.1000.png,https://www.mrdirectint.com/media/products/faucet/708-c/product/main.1000.png,https://www.mrdirectint.com/media/products/faucet/708-c/alt/90.1000.png,https://www.mrdirectint.com/media/products/faucet/708-c/product/dim_in.1000.png,,,,,,,,,,,,,,,,,https://www.mrdirectint.com/files/specs/708-c_specs.pdf,https://www.mrdirectint.com/files/install/708_install.pdf,https://www.mrdirectint.com/files/certs/cupc_faucet.pdf,https://www.mrdirectint.com/files/certs/nsf.pdf,https://www.mrdirectint.com/files/certs/lead_free.pdf,,,,,,,,,,,,,,
