Link,Full Name,SKU,Summary,Price Currency,Price,Availability,PriceValidUntil,Aggregate Rating,Review Count,Available Finishes / Color,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Image 9,Image 10,Image 11,Image 12,Image 13,Image 14,Image 15,Image 16,Image 17,Image 18,Image 19,Image 20,Specifications,Faucet Installation,cUPC Certification,NSF Certification,Lead Free,Undermount Installation,Flush DXF,Full DXF,Negative DXF,Water Sense,Topmount Installation,Apron Installation,Undermount To Laminate Installation,Warranty,Care and Cleaning Manual,ICC Certification,Installation,Specification,Vessel Installation
https://www.mrdirectint.com/pud-c-chrome-pop-up-drain,Chrome Pop-Up Drain PUD-C,PUD-C,"Designed for use with most lavatory sinks, pop-up drains open and close by pressing the top of the cap, which allows for both draining and retaining water. Match any decor with our variety of available finishes.",USD,29.00,InStock,2021-07-30,5,1,Chrome,Easy-Push Stopper,One Year Warranty,Made From Solid Brass,,,,,,,,,,,,,https://www.mrdirectint.com/media/products/accessory/pud-c/product/main.1000.png,https://www.mrdirectint.com/media/products/accessory/pud-c/product/dim_in.1000.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mrdirectint.com/pud-bn-brushed-nickel-pop-up-drain,Brushed Nickel Pop-Up Drain PUD-BN,PUD-BN,"Designed for use with most lavatory sinks, pop-up drains open and close by pressing the top of the cap, which allows for both draining and retaining water. Match any decor with our variety of available finishes.",USD,29.00,InStock,2021-07-30,5,1,Brushed Nickel,Easy-Push Stopper,One Year Warranty,Made From Solid Brass,,,,,,,,,,,,,https://www.mrdirectint.com/media/products/accessory/pud-bn/product/main.1000.png,https://www.mrdirectint.com/media/products/accessory/pud-bn/product/dim_in.1000.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mrdirectint.com/pud-abr-antique-bronze-pop-up-drain,Antique Bronze Pop-Up Drain PUD-ABR,PUD-ABR,"Designed for use with most lavatory sinks, pop-up drains open and close by pressing the top of the cap, which allows for both draining and retaining water. Match any decor with our variety of available finishes.",USD,29.00,InStock,2021-07-30,5,1,Antique Bronze,Easy-Push Stopper,One Year Warranty,Made From Solid Brass,,,,,,,,,,,,,https://www.mrdirectint.com/media/products/accessory/pud-abr/product/main.1000.png,https://www.mrdirectint.com/media/products/accessory/pud-abr/product/dim_in.1000.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mrdirectint.com/vpud-nf-c-chrome-vessel-pop-up-drain-without-overflow,Chrome Vessel Pop-Up Drain VPUD-NF-C,VPUD-NF-C,"Our vessel pop-up drains will work with most vessel sink drain openings and can be opened or closed simply by pressing the top of the drain mechanism up or down. This type of drain enables you to fill the sink with water, but remember there is no overflow feature on most vessel sinks or these drains. These drains are available in chrome, brushed nickel, antique bronze, and oil rubbed bronze finishes.",USD,41.00,InStock,2021-07-30,5,1,Chrome,Easy-Push Stopper,One Year Warranty,Made From Solid Brass,,,,,,,,,,,,,https://www.mrdirectint.com/media/products/accessory/vpud-nf-c/product/main.1000.png,https://www.mrdirectint.com/media/products/accessory/vpud-nf-c/product/dim_in.1000.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mrdirectint.com/vpud-nf-bn-brushed-nickel-vessel-pop-up-drain-without-overflow,Brushed Nickel Vessel Pop-Up Drain VPUD-NF-BN,VPUD-NF-BN,"Our vessel pop-up drains will work with most vessel sink drain openings and can be opened or closed simply by pressing the top of the drain mechanism up or down. This type of drain enables you to fill the sink with water, but remember there is no overflow feature on most vessel sinks or these drains. These drains are available in chrome, brushed nickel, antique bronze, and oil rubbed bronze finishes.",USD,45.00,InStock,2021-07-30,5,1,Brushed Nickel,Easy-Push Stopper,One Year Warranty,Made From Solid Brass,,,,,,,,,,,,,https://www.mrdirectint.com/media/products/accessory/vpud-nf-bn/product/main.1000.png,https://www.mrdirectint.com/media/products/accessory/vpud-nf-bn/product/dim_in.1000.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mrdirectint.com/vpud-nf-orb-oil-rubbed-bronze-vessel-pop-up-drain-without-overflow,Oil-Rubbed Bronze Vessel Pop-Up Drain VPUD-NF-ORB,VPUD-NF-ORB,"Our vessel pop-up drains will work with most vessel sink drain openings and can be opened or closed simply by pressing the top of the drain mechanism up or down. This type of drain enables you to fill the sink with water, but remember there is no overflow feature on most vessel sinks or these drains. These drains are available in chrome, brushed nickel, antique bronze, and oil rubbed bronze finishes.",USD,45.00,InStock,2021-07-30,5,1,Oil-Rubbed Bronze,Easy-Push Stopper,One Year Warranty,Made From Solid Brass,,,,,,,,,,,,,https://www.mrdirectint.com/media/products/accessory/vpud-nf-orb/product/main.1000.png,https://www.mrdirectint.com/media/products/accessory/vpud-nf-orb/product/dim_in.1000.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mrdirectint.com/vpud-nf-abr-antique-bronze-vessel-pop-up-drain-without-overflow,Antique Bronze Vessel Pop-Up Drain VPUD-NF-ABR,VPUD-NF-ABR,"Our vessel pop-up drains will work with most vessel sink drain openings and can be opened or closed simply by pressing the top of the drain mechanism up or down. This type of drain enables you to fill the sink with water, but remember there is no overflow feature on most vessel sinks or these drains. These drains are available in chrome, brushed nickel, antique bronze, and oil rubbed bronze finishes.",USD,45.00,InStock,2021-07-30,5,1,Antique Bronze,Easy-Push Stopper,One Year Warranty,Made From Solid Brass,,,,,,,,,,,,,https://www.mrdirectint.com/media/products/accessory/vpud-nf-abr/product/main.1000.png,https://www.mrdirectint.com/media/products/accessory/vpud-nf-abr/product/dim_in.1000.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mrdirectint.com/vpud-f-c-chrome-overflow-vessel-pop-up-drain,Chrome Vessel Pop-Up Drain with Overflow VPUD-F-C,VPUD-F-C,"Our vessel pop-up drains will work with most vessel sink drain openings and can be opened or closed simply by pressing the top of the drain mechanism up or down. This type of drain enables you to fill the sink with water, and is compatible with vessel sinks that have an overflow hole. These drains are available in chrome, brushed nickel, antique bronze, and oil rubbed bronze finishes.",USD,41.00,InStock,2021-07-30,5,1,Chrome,Easy-Push Stopper,One Year Warranty,Made From Solid Brass,,,,,,,,,,,,,https://www.mrdirectint.com/media/products/accessory/vpud-f-c/product/main.1000.png,https://www.mrdirectint.com/media/products/accessory/vpud-f-c/product/dim_in.1000.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mrdirectint.com/vpud-f-bn-brushed-nickel-vessel-pop-up-drain-with-overflow,Brushed Nickel Vessel Pop-Up Drain with Overflow VPUD-F-BN,VPUD-F-BN,"Our vessel pop-up drains will work with most vessel sink drain openings and can be opened or closed simply by pressing the top of the drain mechanism up or down. This type of drain enables you to fill the sink with water, and is compatible with vessel sinks that have an overflow hole. These drains are available in chrome, brushed nickel, antique bronze, and oil rubbed bronze finishes.",USD,45.00,InStock,2021-07-30,5,1,Brushed Nickel,Easy-Push Stopper,One Year Warranty,Made From Solid Brass,,,,,,,,,,,,,https://www.mrdirectint.com/media/products/accessory/vpud-f-bn/product/main.1000.png,https://www.mrdirectint.com/media/products/accessory/vpud-f-bn/product/dim_in.1000.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mrdirectint.com/vpud-f-orb-oil-rubbed-bronze-vessel-pop-up-drain-with-overflow,Oil-Rubbed Bronze Vessel Pop-Up Drain with Overflow VPUD-F-ORB,VPUD-F-ORB,"Our vessel pop-up drains will work with most vessel sink drain openings and can be opened or closed simply by pressing the top of the drain mechanism up or down. This type of drain enables you to fill the sink with water, and is compatible with vessel sinks that have an overflow hole. These drains are available in chrome, brushed nickel, antique bronze, and oil rubbed bronze finishes.",USD,45.00,InStock,2021-07-30,5,1,Oil-Rubbed Bronze,Easy-Push Stopper,One Year Warranty,Made From Solid Brass,,,,,,,,,,,,,https://www.mrdirectint.com/media/products/accessory/vpud-f-orb/product/main.1000.png,https://www.mrdirectint.com/media/products/accessory/vpud-f-orb/product/dim_in.1000.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
